scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,23,226.173913,220,33.07794125,205.5,226,284.8,185,315
S1,P2,126,202.2063492,199,20.07638113,191,206.75,221.5,173,343
S1,P3,222,308.2702703,283,130.4395247,226.25,309.5,446.7,180,940
S2,P1,156,211.474359,202,36.73206364,195,218.25,241,161,503
S2,P2,59,198.2372881,197,10.75645593,193.5,203,206.4,166,244
S2,P3,20,234.25,220,57.38409371,208.75,233.5,257.4,195,464
S3,P1,36,201.1944444,199,12.58983591,192,209,218,166,226
S3,P2,70,197.0285714,193.5,10.56240452,191,200,210,176,250
S3,P3,493,322.2231237,293,124.7522867,268,328,418.6,176,982
S4,P1,259,201.4864865,198,15.45871003,193,205,218.2,164,324
S4,P2,103,198.038835,195,11.50440864,191.5,201,207,169,262
S4,P3,22,223.1818182,207,50.47265772,199,231,247,185,416
