scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,9,1.888888889,2,0.333333333,2,2,2,1,2
S1,P2,8,1.875,2,0.353553391,2,2,2,1,2
S1,P3,8,1.875,2,0.353553391,2,2,2,1,2
S2,P1,84,1.904761905,2,0.295306564,2,2,2,1,2
S2,P2,84,1.964285714,2,0.186691458,2,2,2,1,2
S2,P3,83,2,2,0,2,2,2,2,2
S3,P1,13,4.769230769,5,0.43852901,5,5,5,4,5
S3,P2,13,4.230769231,5,1.48064435,4,5,5,1,5
S3,P3,13,4.615384615,5,0.869718493,5,5,5,2,5
S4,P1,40,4.575,5,0.812955986,4,5,5,2,5
S4,P2,39,4.717948718,5,0.723613664,5,5,5,1,5
S4,P3,39,4.820512821,5,0.388776412,5,5,5,4,5
