scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,1437,459.52470424495476,270.0,4466.900571084931,258.0,290.0,363.0,221,120060
S1,P2,1436,435.6455431754875,268.0,2928.015814891016,256.0,286.0,353.0,196,79206
S1,P3,1436,16797.380222841224,273.0,41307.02528832492,207.0,388.0,120042.0,173,120211
S2,P1,1589,749.9169288860919,277.0,4734.668669502797,264.0,374.0,750.6000000000001,177,91249
S2,P2,1589,294.58653241032096,268.0,87.21384064395976,260.0,284.0,352.2000000000003,221,1149
S2,P3,1588,256.5604534005038,237.0,146.50897720295,203.0,278.0,305.0,161,3194
S3,P1,15405,3216.844401168452,255.0,18089.32690090305,208.0,291.0,404.60000000000036,160,120054
S3,P2,15405,687.726582278481,275.0,6765.973339570721,202.0,297.0,376.0,165,120461
S3,P3,15405,12013.291788380397,286.0,34609.26627040038,272.0,376.0,71400.0,165,120201
S4,P1,23568,1367.231712491514,257.0,8052.760784235892,207.0,288.0,445.0,163,120142
S4,P2,23568,2459.804438221317,195.0,16091.361505096229,192.0,202.0,219.0,156,121090
S4,P3,23567,26490.760130691222,305.0,45562.15535527962,235.0,33332.0,120040.0,160,121407
