scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,1435,292.8452962,270,75.65886173,258,289.5,362,221,882
S1,P2,1434,329.539749,268,697.0821182,256,286,352,196,15812
S1,P3,1238,283.7431341,240.5,141.0657504,204,303,406,173,1848
S2,P1,1583,469.6348705,277,1079.20213,264,371.5,743,177,33166
S2,P2,1589,294.5865324,268,87.21384064,260,284,352.2,221,1149
S2,P3,1588,256.5604534,237,146.5089772,203,278,305,161,3194
S3,P1,15036,414.8432429,255,2237.962432,207,282,370,160,56696
S3,P2,15349,284.5202945,275,180.8564941,202,296,372,165,6561
S3,P3,13855,538.7291952,281,2537.16034,269,314,504.6,165,59669
S4,P1,23426,850.6770682,257,4140.711539,207,286,432,163,57790
S4,P2,23116,216.2860789,194,601.4297812,192,201,215,156,27116
S4,P3,18612,3918.383462,280,11111.42125,218,363,11334,160,59989
