scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,1,0,0,,0,0,0,0,0
S1,P2,7,0.514285714,0,0.641426981,0,1.2,1.2,0,1.2
S1,P3,15,2.886666667,1.2,4.526882665,0,3.7,9.6,0,13.8
S2,P1,1,1.3,1.3,,1.3,1.3,1.3,1.3,1.3
S2,P2,8,14.575,15.1,7.222138583,10.525,18.3,23.16,2.4,24.7
S2,P3,8,12.2875,12.8,8.038734353,7.65,18.825,20.52,1.2,22.2
S3,P1,1,1.2,1.2,,1.2,1.2,1.2,1.2,1.2
S3,P2,10,7.26,8.15,3.822797114,6.825,9.65,11.02,0,11.2
S3,P3,12,15.66666667,15.6,6.153392757,9.875,20.675,21.47,7.4,26.8
S4,P1,1,15,15,,15,15,15,15,15
S4,P2,12,14.75,14.4,7.562407024,10.875,19.375,25.09,2.4,25.3
S4,P3,13,13.06923077,12.7,8.023131622,7.4,18.5,22.38,2.5,27.9
