scenario,phase,count,mean,median,std,q1,q3,p90,min,max
S1,P1,1,525.0,525.0,,525.0,525.0,525.0,525.0,525.0
S1,P2,7,523.8571428571429,524.0,9.388442743227301,522.0,528.5,533.0,506.0,536.0
S1,P3,15,531.6666666666666,530.0,12.63027353321414,524.0,534.0,545.6,519.0,566.0
S2,P1,1,520.0,520.0,,520.0,520.0,520.0,520.0,520.0
S2,P2,8,539.75,533.5,20.69333916298396,523.0,563.25,564.0,516.0,564.0
S2,P3,8,546.75,547.5,13.209844813622901,535.5,558.0,560.1,528.0,565.0
S3,P1,1,522.0,522.0,,522.0,522.0,522.0,522.0,522.0
S3,P2,10,537.3,533.0,23.065366051964368,518.25,558.25,566.3,506.0,569.0
S3,P3,12,545.5833333333334,545.0,9.080031370924305,540.75,551.75,555.8,528.0,559.0
S4,P1,1,513.0,513.0,,513.0,513.0,513.0,513.0,513.0
S4,P2,12,545.5833333333334,547.0,21.84847959483818,527.0,561.75,573.9,507.0,577.0
S4,P3,13,549.6153846153846,550.0,14.643192169847284,536.0,559.0,566.6,521.0,570.0
